customerId,firstName,lastName,email,phoneNumbers,isHighRisk,isVIP
468eb4b5-d215-4371-adf4-6057b32bc1e5,Eustaquio,Jiménez,bsolsona@example.net,"['+34986252398', '+34 847 74 98 80', '+34 947053858']",True,True
d5100947-0136-4c2e-96fd-ba7c2a1c4be9,Lourdes,Mendizábal,elisa55@example.com,"['+34927165280', '+34974 754 515', '+34 828 29 46 30']",False,True
5f81594a-1c58-4955-9021-9de84f18e816,Renata,Bonet,flormauricio@example.net,['+34 944399181'],True,True
544d6a1f-e655-41d1-a7a7-9aa82c7a335d,Catalina,Anglada,parejaclaudio@example.net,"['+34881252529', '+34 824923968', '+34735575088']",True,False
b4b7794a-32d6-45a0-bbc3-5db411dbe762,Onofre,Duran,crodriguez@example.com,['+34856141829'],True,True
5ca2626a-38a9-4451-a07c-e85c8d49e892,Germán,Guerrero,pepe65@example.org,['+34 887 211 702'],True,True
7cf15640-4608-4a48-ab40-8f1b5036b89f,Cornelio,Alcalde,franchmarina@example.org,"['+34885 879 678', '+34703454545', '+34930068733']",True,False
305d71c8-d07a-42ed-a4f0-1749158aaf0f,Úrsula,Cañas,porcelpaz@example.org,['+34 923 679 559'],False,False
fc7a6b53-539f-464f-b66f-15cb98539198,Gilberto,Bermúdez,maria-carmencervera@example.com,['+34900 662 499'],True,False
f9002cfc-cf5a-419d-b097-6a371e461093,Ceferino,Miró,pellicersalud@example.net,"['+34 722 796 888', '+34 871 60 73 54']",False,True
8035a117-c48c-414d-87a1-265de3416777,Augusto,Casas,arocahilda@example.net,['+34828 24 87 34'],False,True
119d85a3-2301-48e0-9097-dfca49481680,Áurea,Salcedo,dionisia57@example.org,['+34975 92 62 08'],False,True
90baf649-6f25-4feb-92e0-0bf4b5a61666,Martirio,Cantero,inocenciorueda@example.com,"['+34846 279 109', '+34827 94 06 38']",False,False
93ea0ff9-13d1-47df-9dbf-f87203b98bb2,Ainara,Valenciano,escrivatoni@example.org,['+34 923 585 325'],False,True
0908d760-8d40-422f-930d-492c47dca8bd,Daniel,Sevilla,jadadia@example.org,"['+34 918 200 802', '+34879800750']",True,False
1b4052df-326f-45af-8d79-01040fff92e4,Mónica,Bastida,americaaraujo@example.net,"['+34 875012357', '+34 878 378 933', '+34821 60 43 63']",False,True
5cbb1c82-7242-4430-ace3-4e0f36926676,Asdrubal,Cañas,spineda@example.org,"['+34 876325382', '+34 922 862 122', '+34887176117']",True,True
30e2148c-d350-4b6a-a076-82e916a9d39d,María Jesús,Castellanos,catalaluis-miguel@example.org,"['+34901 51 97 92', '+34881 74 90 25', '+34927 021 383']",True,False
036dbe93-b873-4108-9db2-b5478a811e6d,Bárbara,Bárcena,sanjuanmaria-pilar@example.org,['+34972 279 694'],True,True
87eef017-2085-4c5c-a337-2cf43014189e,Josefa,Benavides,renatacamacho@example.net,"['+34841 046 862', '+34874 400 262']",False,False
cedaa684-4955-4f79-8a2c-26edc5c4d684,Juana,Heredia,domingo50@example.net,"['+34 826 810 481', '+34886 766 211', '+34 887 250 927']",False,True
59639080-1be4-4270-a6b3-4bb11ae98d93,Armida,Gaya,jose-angel58@example.com,"['+34 977 885 087', '+34 888460076']",False,True
162ad8ee-6a79-4edd-995e-057e46db359d,Pedro,Aparicio,ortegamaricruz@example.net,"['+34820 42 01 57', '+34 978 66 13 96', '+34803 63 77 98']",False,True
006247f5-4415-43a4-b93a-e3e952ef1248,Gonzalo,Morcillo,bienvenidasole@example.org,"['+34881992972', '+34921722701', '+34988 316 107']",True,True
e8b4246b-0bf8-4cec-81be-235d7ed9d207,Wilfredo,Mateo,osunacurro@example.org,['+34988 126 350'],False,False
4908a7ef-bd88-44b7-96cd-6cf74bf73dc9,Fidela,Carrasco,acunaeloy@example.net,"['+34986598627', '+34 841048194']",True,False
8d952c21-7be9-420a-a5fd-7c7b75c68824,Georgina,Aragonés,luisinatapia@example.com,['+34 979951593'],True,True
fe2df11d-b8b6-4df3-a0b8-6bcaeaaa4266,Clementina,Andrade,floragranados@example.org,"['+34 984 63 71 51', '+34 842 554 547']",False,False
37309f1f-e16e-4ec0-8252-fa2a3923d42e,Silvia,Colomer,isaac20@example.net,['+34 847938746'],True,False
32cbfdee-0d10-4c46-9bf7-4c6b199fec47,Yago,Escolano,custodiaverdu@example.org,['+34821587321'],False,False
9b6d46b4-ee56-43d5-bf84-4615b9fff7a3,Lorenza,Rosa,victor76@example.net,"['+34841 789 150', '+34 711703027', '+34900751749']",False,True
ffa78f68-112a-4c2e-9b36-a1f87652c771,Evelia,Osorio,gracianasalazar@example.org,"['+34 882 632 597', '+34 880271102']",True,True
926d0bde-0671-4087-9da2-b6a94b170185,Fito,Valenzuela,wponce@example.org,"['+34947347624', '+34 873 275 932', '+34 800 884 791']",False,False
a68f2820-6cd5-44a7-b0bb-0863f597fda7,Jose,Egea,ellano@example.com,"['+34 827313818', '+34 875 92 44 05', '+34 941 75 15 62']",False,False
094b2c26-a41e-49fb-885b-f00676ed0444,Íngrid,Canet,emma69@example.org,['+34 852 680 407'],True,False
07618b68-fc4f-47c6-aca1-13eb6733712b,Ernesto,Tejada,jsolis@example.org,['+34 964 52 04 34'],True,True
9722d798-f082-40bc-9321-4c05261b781f,Encarnación,Cruz,luchorebollo@example.com,['+34883 012 117'],True,False
19814aff-72c2-4ee6-8381-7771b84e1ea1,Consuelo,Oliver,qaguilar@example.net,"['+34702748086', '+34740 353 943', '+34921 416 091']",True,False
ba674c03-1b77-4893-9fe4-73ea8efbb22b,Jenaro,Alcázar,isalazar@example.com,"['+34946 948 149', '+34731 95 85 35']",False,False
998d3705-aae8-43af-b302-dd19a99d5e5d,Maricruz,Ros,carina40@example.com,"['+34 806214063', '+34884 518 890', '+34922 600 235']",True,True
0b158c41-5329-4d53-936a-e861c38fc636,Odalys,Jara,herminio32@example.org,"['+34944840512', '+34 867 207 152', '+34723 446 218']",False,False
3c24a2b1-2360-46b8-92ee-e942b1e692dd,Julie,Enríquez,maxima21@example.net,['+34949 18 34 63'],False,False
1fa678ec-206b-4367-9623-c46785306ea2,Manu,Cortés,ypineda@example.org,['+34887 01 70 40'],False,True
d58db261-047e-4342-af8a-648310db810e,Valentina,Costa,vrodriguez@example.org,"['+34842 916 030', '+34 877951651', '+34880 91 74 11']",False,True
